complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
receipt.width	receipt, receiver	w_R(h) = diam{R(Φ_h x u) : x ∈ F, u admitted};  w = 0 ⇔ R∘Φ_h constant on F ⇔ releasable at every tolerance	the width is the diameter of an actual image set, a structural uncertainty, not a probability	finite compatible family F	L:Foundation/ReceiverRelease:width; L:Foundation/ReceiverRelease:width_eq_zero_iff; L:Foundation/ReceiverRelease:releasable_at_every_tolerance_iff_width_zero; L:Foundation/ReceiverRelease:Releasable; R:holonics::receiver::release::width	formal-checked	
receipt.width-laws	receipt, receiver	F' ⊆ F ⇒ w_F' ≤ w_F;  g non-expansive ⇒ w_(g∘R) ≤ w_R;  g expansive can widen (doubling)	a narrower fibre and a non-expansive coarser receiver never widen; a coarser but expansive reading can	finite fibres	L:Foundation/ReceiverRelease:width_mono; L:Foundation/ReceiverRelease:width_nonExpansive_factor; L:Foundation/ReceiverRelease:expansive_factor_increases_width; L:Foundation/ReceiverRelease:doubling_factor_not_nonExpansive	formal-checked	uses:receipt.width
receipt.release-receiver-relative	receipt, receiver, navigator	one fibre: receiver A releases at every tolerance, receiver B at none;  two lawful ReleaseLaws return different arms on one reading	release is receiver-relative and caller-declared; there is no global certainty gate and no default		L:Foundation/ReceiverRelease:release_is_receiver_relative_not_a_global_gate; L:Foundation/ReceiverRelease:no_default_among_the_lawful_returns; L:Foundation/ReceiverRelease:ReleaseLaw	formal-checked	uses:receipt.width
receipt.release-returns	receipt, receiver	ReleaseReturn ∈ {released, hold, widen, ask, releaseCoarser, noContinuationBridges}; released ⇒ w ≤ tol; widen names tol' ≥ w; releaseCoarser carries coarserWidth ≤ tol	the lawful non-release returns; only the arms naming a tolerance are constrained	declared ReleaseLaw	L:Foundation/ReceiverRelease:ReleaseReturn; L:Foundation/ReceiverRelease:every_lawful_return_other_than_hold_ask_or_no_continuation_is_inside_its_tolerance; R:holonics::receiver::release::ReleaseReturn	formal-checked	uses:receipt.width
receipt.event-stable-timing-unstable	receipt, receiver, epoch	x ↦ 2x, fibre {1/8, 1/4} = {2⁻³, 2⁻²}, horizon 3: width("occurs by 3") = 0, width("time of event") = 1	an event can be future-stable while its timing is not; the timing receiver does not factor through the released coarse face	doubling recurrence	L:Foundation/ReceiverRelease:future_stable_event_with_unstable_timing; L:Foundation/ReceiverRelease:timeOfEvent_is_least; L:Foundation/ReceiverRelease:no_transformer_from_the_released_coarse_face	counterexample	instance-of:receipt.release-receiver-relative
receipt.two-axis-horizon	receipt, tube, tower	horizon = (longitudinal steps, grain index); width monotone in both; toward the coarse the reach is determined (width 0), toward the fine it is a plural fibre	the release horizon has two coordinates: along the tube and across grains	Horizon.Within is a preorder, not total	L:Foundation/ReceiverRelease:twoAxisWidth_mono; L:Foundation/ReceiverRelease:coarse_width_eq_zero; L:Foundation/ReceiverRelease:looking_toward_the_coarse_is_determined_and_toward_the_fine_is_plural; L:Foundation/ReceiverRelease:horizonWithin_is_not_total	formal-checked	uses:receipt.width
receipt.quotient-preimage-fibre	receipt, compression, ratio	ReceiverQuotient keeps preimageFibre(face); a section is additional structure;  binary exponential: common shift stays in one fibre	a quotient face is never assigned an invented inverse: its inverse image is a typed preimage fibre		L:Foundation/ReceiverQuotient:preimageFibre; L:Foundation/ReceiverQuotient:QuotientSection; L:Foundation/ReceiverQuotient:binaryExponentialQuotient_common_shift; L:Foundation/ReceiverQuotient:binaryExponentialReceiver_common_shift	formal-checked	uses:ratio.log-branch
receipt.causal-chord-transfer	receipt, navigator, tube	Lin = (A, B, C): transfer = C adj(sI − A) B / charpoly A = C(sI − A)⁻¹B;  charpoly · transfer = numerator (poles ⊆ eigenvalues)	the causal chord is the transfer function of a linearization; clearing one characteristic polynomial returns a polynomial matrix	matrices over a field	L:Foundation/CausalChord:resolvent_identity; L:Foundation/CausalChord:denominator_smul_transfer_eq_numerator; L:Foundation/CausalChord:transfer; L:Foundation/CausalChord:denominator_ne_zero; R:holonics::receiver::causal_chord::Linearization; R:holonics::receiver::causal_chord::transfer_function	formal-checked	
receipt.causal-chord-rebase-invariant	receipt, complex	(UAV, UB, CV), UV = VU = 1: same numerator, denominator and transfer	the chord is a property of the current, not of the coordinates	two-sided inverse pair	L:Foundation/CausalChord:rebase_transfer; L:Foundation/CausalChord:rebase_numerator; L:Foundation/CausalChord:rebase_denominator; L:Foundation/CausalChord:charpoly_conj; L:Foundation/CausalChord:adjugate_conj	formal-checked	uses:receipt.causal-chord-transfer
receipt.cancellation-strict	receipt, compression	diagonal Lin over ℚ with eigenvalue 2 neither excited nor observed: 2 a root of charpoly, not a pole; reduced denominator X − 1	poles ⊆ eigenvalues is strict: an unexcited unobserved mode cancels visibly	witness	L:Foundation/CausalChord:cancellation_is_strict; L:Foundation/CausalChord:cancellingWitness	counterexample	obstructs:receipt.causal-chord-transfer
receipt.rate-form-congruence	receipt, constitution, complex	Σ_G = A*G + GA;  chart B: Σ_(G') = B^(−*) Σ_G B^(−1)	the rate form transforms by congruence; its signature, not A's eigenvalues, is the invariant content of a situated role	constant invertible chart, over ℂ	L:Foundation/CausalChord:rateForm_congruence; L:Foundation/CausalChord:rateForm	formal-checked	
receipt.seam-g-skew	receipt, constitution, parametron	Σ_G(L) = 0 ⇔ L*G + GL = G (centre at ½);  A*G + GA = 0, G ≻ 0 ⇒ Re λ = 0;  seam ⇒ Re λ = 1/2	a G-skew navigator with positive definite G has purely imaginary spectrum, and the seam places it on Re λ = 1/2	G positive definite	L:Foundation/CausalChord:seam_iff_gSkew; L:Foundation/CausalChord:gSkew_eigenvalue_re_eq_zero; L:Foundation/CausalChord:seam_eigenvalue_re_eq_half	formal-checked	uses:receipt.rate-form-congruence
receipt.semisimple-conserving-receiver	receipt, receiver, parametron	A = S D S⁻¹, Re d_i = 0 ⇒ G = S^(−*) S^(−1) ≻ 0 and A*G + GA = 0	a semisimple purely imaginary navigator has a conserving receiver	semisimple	L:Foundation/CausalChord:semisimple_imaginary_has_conserving_receiver	formal-checked	uses:receipt.seam-g-skew
receipt.jordan-no-conserving-receiver	receipt, receiver	J = [[i,1],[0,i]]: only eigenvalue i, yet (A*G + GA)₁₀ = G₀₀ > 0 for every G ≻ 0	purely imaginary spectrum does not give a conserving receiver: semisimplicity is the dropped hypothesis	witness	L:Foundation/CausalChord:jordan_has_no_conserving_receiver; L:Foundation/CausalChord:jordan_eigenvalue_eq_I	counterexample	obstructs:receipt.semisimple-conserving-receiver
receipt.spectrum-not-response	receipt, receiver, landmark	two linearizations over ℚ with charpoly X² and different numerators;  Fin 2: the full probe/readout atlas adj(sI − A) determines A	isospectral objects exist: identity is carried by the response atlas under admitted probes, not by one spectrum	2×2 witness; full-atlas theorem at Fin 2 only	L:Foundation/CausalChord:spectrum_does_not_determine_response; L:Foundation/CausalChord:full_atlas_determines_the_operator_fin_two	counterexample	uses:receipt.causal-chord-transfer
receipt.capability-supplied	receipt, receiver	empty capability: no operation from the carrier alone;  two admissible metrics on one carrier give two operations	a metric, smooth structure or scaling is supplied to an object, never conferred by its carrier		L:Foundation/ReceiverAtlas:no_operation_from_the_carrier_alone; L:Foundation/ReceiverAtlas:operation_is_supplied_not_conferred; L:Foundation/ReceiverAtlas:Capability	formal-checked	
receipt.atlas-cocycle-defect	receipt, receiver, complex	triple overlap: routed transition vs direct transition, both lossy with residuals; cocycle ⇔ defect set empty; the defect is holonomy, not loss	a receiver atlas's transition cocycle is stated with residuals and its failure is a holonomy content	lossy Transition charts	L:Foundation/ReceiverAtlas:cocycle_iff_isEmpty_defect; L:Foundation/ReceiverAtlas:defect_is_holonomy_not_loss; L:Foundation/ReceiverAtlas:CocycleDefect; L:Foundation/ReceiverAtlas:coarseGrain_not_cocycle	formal-checked	uses:cell.connection-route-return
receipt.atlas-gluing-trichotomy	receipt, holarchy, tower	AtlasGluing ∈ {unique, plural, obstructed}, total;  a defect admits no coherent placement;  invertible transitions + cocycle ⇒ placements ≃ any one chart	an embedding is an atlas of placements whose content is its transition maps: gluing is unique, plural or obstructed	ReceiverAtlas	L:Foundation/ReceiverAtlas:atlasGluing_total; L:Foundation/ReceiverAtlas:no_coherentPlacement_through_defect; L:Foundation/ReceiverAtlas:placementEquiv; L:Foundation/ReceiverAtlas:AtlasGluing	formal-checked	uses:receipt.atlas-cocycle-defect
receipt.embedding-not-one-vector	receipt, holarchy	shift atlas: every chart and region inhabited, every transition lawful, no coherent placement; transitions not invertible; residual separates	an embedding cannot be one global vector: an atlas can have every chart inhabited and no coherent placement	witness	L:Foundation/ReceiverAtlas:theEmbeddingIsNotOneVector; L:Foundation/ReceiverAtlas:shiftAtlas_gluing; L:Foundation/ReceiverAtlas:shiftAtlas_not_invertible	counterexample	obstructs:receipt.atlas-gluing-trichotomy
receipt.atlas-indistinguishable	receipt, receiver	indistinguishable under an atlas ⇒ every chart reading factors; refinement preserves indistinguishability; coarse atlas cannot separate, rich atlas separates; two charts may be incomparable by refinement	what one atlas can and cannot separate; comparison by common refinement can be undefined		L:Foundation/ReceiverAtlas:indistinguishable_factors; L:Foundation/ReceiverAtlas:indistinguishable_of_refinement; L:Foundation/ReceiverAtlas:coarse_cannot_separate; L:Foundation/ReceiverAtlas:rich_separates; L:Foundation/ReceiverAtlas:twoCharts_comparison_undefined	formal-checked	
receipt.separating-atlas	receipt, receiver, landmark	bounded-dimension linear systems under the full probe atlas: identity probe determines A; Markov truncation A^k = (A^k mod charpoly) so 2n parameters suffice	for a declared bounded class, any two inequivalent objects admit a probe, receiver and time where their responses differ (a property of atlas and class)	exact linear systems of bounded dimension	L:Foundation/ReceiverAtlas:fullProbeAtlas_separates; L:Foundation/ReceiverAtlas:identity_probe_determines_the_operator; L:Foundation/ReceiverAtlas:markov_truncation; L:Foundation/ReceiverAtlas:Separates	formal-checked	uses:receipt.spectrum-not-response
receipt.spectral-topological-insufficient	receipt, receiver, complex	finite complexes on six occurrences, seven contacts: the R3+R5 spectral-topological reading agrees on two graphs no transformer separates	the spectral plus topological receiver atlas is not separating on finite complexes	established-bounded, measured class	L:Foundation/ReceiverAtlas:no_transformer_from_the_spectral_topological_reading; L:Foundation/ReceiverAtlas:readings_agree	counterexample	obstructs:receipt.separating-atlas
receipt.cost-receipt-frontier	receipt, compression	CostReceipt = (bytes, decodeWork, updateWork, certificateWork, residual) with provenance; dominance = product partial order; frontier of a finite family nonempty, antichain, dominates all	cost is a receipt: presentations are compared by the receiver-relative Pareto frontier, never one scalar	finite declared family	L:Foundation/PresentationCost:frontier_nonempty; L:Foundation/PresentationCost:exists_frontier_dominating; L:Foundation/PresentationCost:frontier_isAntichain; L:Foundation/PresentationCost:CostReceipt; L:Foundation/PresentationCost:dominates_antisymm_fails_on_receipts	formal-checked	
receipt.scalar-objective-misses-frontier	receipt, compression	positive weighting minimizer ∈ frontier; converse fails: a frontier point above the chord of two others is selected by no weighting; no frontier has a least point in general	a scalar score sees only the lower convex hull of the frontier; the optimal presentation is not well formed for more than one axis	chord witness	L:Foundation/PresentationCost:minimizer_isFrontierPoint; L:Foundation/PresentationCost:unsupported_not_minimizer; L:Foundation/PresentationCost:frontier_has_no_least_point	counterexample	obstructs:receipt.cost-receipt-frontier
receipt.frontier-reparameterization	receipt, compression	monotone change of unit per axis preserves the frontier; the scalar minimizer is not preserved	the frontier survives reparameterization; a scalar minimizer does not	strictly monotone per-axis maps	L:Foundation/PresentationCost:frontier_reparameterization_invariant; L:Foundation/PresentationCost:scalar_minimizer_not_reparameterization_invariant	formal-checked	uses:receipt.cost-receipt-frontier
receipt.receipts-compose	receipt, tube	compose(r₁, r₂) vector = sum, commutative, associative; residual code bits subadditive: codeBits(res₁ × res₂) ≤ codeBits res₁ + codeBits res₂, strict at a witness	receipts compose serially and the residual behaves as the carrier's residual does		L:Foundation/PresentationCost:compose_vector; L:Foundation/PresentationCost:serial_receipt_balance; L:Foundation/PresentationCost:codeBits_residual_comp_le; L:Foundation/PresentationCost:codeBits_residual_comp_lt_witness	formal-checked	uses:compression.serial-code-balance
receipt.refinement-route-padic	receipt, tower	p-adic costed tower: migration cost bounded by the refine-then-restrict route, equality on step axes, strict at certificateWork and residual; squared-gap receipt admits no costed tower	the open refinement-route comparison is discharged at the p-adic tower and fails for a squared-gap assignment	padicTower	L:Foundation/PresentationCost:costBoundedByRefinementRoute_padic; L:Foundation/PresentationCost:padicCostedTower_route_strict_at_certificateWork; L:Foundation/PresentationCost:no_costedTower_with_squaredGapReceipt	formal-checked	uses:tower.continuing-transition
receipt.information-rate	receipt, receiver	rate = totalInformation / totalMass, invariant under relabelling;  duplicating unweighted occurrences with halved information halves the rate	information per Holon is a receiver-relative quotient that keeps its weighted family	finite weighted family	L:Foundation/SituatedInformationRate:rate_eq_quotient; L:Foundation/SituatedInformationRate:rate_equiv; L:Foundation/SituatedInformationRate:duplicated_unweighted_rate_halves; L:Foundation/SituatedInformationRate:split_rate	formal-checked	
receipt.throughput-clock	receipt, epoch, aeon	throughput = N/dt;  t' = a t + b ⇒ N/dt' = (N/dt)/a;  dt ↦ −dt negates;  serial windows: ΣN/Σdt	a rate is a count over an interval of a named clock; an affine clock change divides it and reversal flips only the orientation	caller-supplied quantity and clock	L:Foundation/SituatedInformationRate:throughput_affine_clock; L:Foundation/SituatedInformationRate:throughput_clock_rebase; L:Foundation/SituatedInformationRate:throughput_oriented_clock_reversal; L:Foundation/SituatedInformationRate:throughput_serial	formal-checked	
receipt.throughput-ceiling	receipt	N·w_min ≤ W ≤ B·dt, dt > 0, w_min > 0 ⇒ N/dt ≤ B/w_min	a resource ceiling bounds a workload's rate; it is not a universal speed	same resource units	L:Foundation/SituatedInformationRate:throughput_resource_ceiling	formal-checked	
receipt.bits-per-second	receipt, ratio	bits/s = occ/s × bits/occ;  r·H(p,q) = r·H(p) + r·D(p‖q) (nats → bits by ÷ ln 2)	an information throughput factors through occurrence rate and per-occurrence code; its expected form splits into entropy and KL rates	one occurrence family; positive probability sections p, q	L:Foundation/SituatedInformationRate:Reading.information_throughput; L:Foundation/SituatedInformationRate:crossEntropy_throughput_decomposition; L:Foundation/SituatedInformationRate:natsToBits_crossEntropy_decomposition	formal-checked	
receipt.comparison-cell	receipt, receiver, complex	two parallel carrying occurrences from a common source: Commutes ⇒ CommutesAt ρ; a ReceiverDefect (left face ≠ right face) ⇒ ¬Commutes	commutation of two routes is derived from retained occurrences, exactly or at a receiver	addressed comparison cell	L:Foundation/ComparisonCell:commutesAt_of_commutes; L:Foundation/ComparisonCell:not_commutes_of_receiverDefect; L:Foundation/ComparisonCell:ComparisonCell	formal-checked	
receipt.section-residual	receipt, compression, key	q linear, s section (q∘s = id): x = s(q x) + r(x), q(r x) = 0;  changing section: r' = r − shift(q x), shift ∈ ker q, shift₁₃ = shift₁₂ + shift₂₃	section coordinates and the receiver-blind remainder reconstruct the source exactly; a change of section moves only the kernel residual, as a cocycle	linear receiver, possibly nonlinear section	L:Foundation/SectionResidual:source_reconstructs; L:Foundation/SectionResidual:receiver_remainder_zero; L:Foundation/SectionResidual:remainder_change; L:Foundation/SectionResidual:shift_cocycle	formal-checked	uses:compression.kernel
receipt.telephone-chain-budget	receipt, tube	e_(n+1) = L_n e_n + ε_n ⇒ ‖x_n − y_n‖ ≤ e₀ ∏_(j<n) L_j + Σ_(k<n) ε_k ∏_(k<j<n) L_j	a receiver-relative approximation defect accumulates along two compared trajectories by the affine budget	F_n L_n-Lipschitz, one-step defect ε_n	L:Transport/AccumulatedReceiverDefect:distance_le_budget; L:Transport/AccumulatedReceiverDefect:budget; L:Transport/AccumulatedReceiverDefect:expansion	formal-checked	
receipt.affine-joint-ball	receipt	‖(L + δL)(x + δx) + t + δt − (Lx + t)‖ ≤ bound in the joint radii; projection nonexpansive; exact identity ball has no inflation; adjoint deviation bound	a joint ball on (linear map, translation, input) encloses the forward and adjoint affine current	declared norms	L:Transport/AffineJointBall:affine_forward_deviation; L:Transport/AffineJointBall:adjoint_deviation; L:Transport/AffineJointBall:projection_nonexpansive; L:Transport/AffineJointBall:exact_identity_ball_no_inflation	formal-checked	
receipt.changing-receiver-defect	receipt, receiver, tube	defect = target receiver of source vs transported; zero ⇔ a receiver transformer exists; serial composition transports the first defect through the second operation (additive chain law); moving receiver adds D_Rρ·X_R	a changing receiver retains its addressed transport defect, owned by the target receiver	addressed passages	L:Transport/ChangingReceiver:defect_zero_iff; L:Transport/ChangingReceiver:passageDefect_comp; L:Transport/ChangingReceiver:passageDefect_comp_additive; L:Transport/ChangingReceiver:moving_receiver_rate; L:Transport/ChangingReceiver:opposite_translations_cancel	formal-checked	uses:receipt.receiver-transformer
receipt.compatible-potential	receipt, receiver, compression	outcomes = future receiver image of the retained preimage fibre of the entering face; more observation refines it; a source rebase transports it; a tolerance bound on outcomes suffices for a requested consequence while the source stays plural	compatible potential is the future image of a retained receiver fibre; no universal certainty gate	observed entering face	L:Transport/ReceiverPotential:additional_observation_refines; L:Transport/ReceiverPotential:outcomes_rebase; L:Transport/ReceiverPotential:bounded_outcomes_suffice; L:Transport/ReceiverPotential:compatible_outcomes_pairwise_bound; L:Transport/ReceiverPotential:future_observations_converge	formal-checked	uses:receipt.quotient-preimage-fibre
receipt.pair-joint-ball	receipt, contact	Σw = 1 anchors the normalized combination; simplex-weighted deviation bound; scalar–vector and inner-product perturbation bounds	norm laws for the normalized pair current keep the joint weighted centre and one value-ball radius	finite dimension	L:Transport/PairJointBall:partition_unity_anchor; L:Transport/PairJointBall:simplex_weighted_deviation_bound; L:Transport/PairJointBall:inner_product_perturbation_bound	formal-checked	uses:receipt.affine-joint-ball
receipt.open-fibre-prediction	receipt, compression	A(τ) = M + τ(S + K + R); observation fibre; a functional killing the unresolved directions is constant on the fibre; one seeing a kernel direction distinguishes two compatible models	an open fibre predicts exactly what its kernel directions do not reach	one source potential, one receiver functional	L:Transport/GenerativeTransport:prediction_invariant_on_fiber; L:Transport/GenerativeTransport:kernel_direction_distinguishes; L:Transport/GenerativeTransport:eventOperator_interval_difference	formal-checked	uses:compression.kernel
receipt.reception	receipt, receiver, holon	I_C(|H_S⟩, |H_R⟩) = (|H'_S⟩, |H'_R⟩, f_R), with source, receiver, locus, frame, clock, grain and unresolved fibre;  a moving receiver adds D_Rρ·X_R beside D_Sρ·X_S	to receive is to measure and compare: an interaction that changes both participants and returns a face with its receipt; the passive coholon reading is its zero-storage limit	receiver is a role of a participating Holon at a port	D:docs/ELEMENTARY_OBJECTS.md#10-receipt; L:Holon/Law:active_receiver_law; L:Holon/Law:passive_reading; L:Transport/ChangingReceiver:moving_receiver_rate	definition	
receipt.field-of-readings	receipt, receiver, epoch	receipt = field of readings over a partition of the complex, each region in its own frame and clock; cross-region comparison carries the interface clock-rate ratio	there is no global scalar and no global gradient: each region reports its readings' distribution over its own ticks, joined to its interface flux	guide definition	D:docs/ELEMENTARY_OBJECTS.md#10-receipt	definition	uses:receipt.reception
receipt.measurement-conventions	receipt, epoch	rate = N/dt of a named clock; disjoint windows aggregate as ΣN/Σdt; bits/s = occ/s × bits/occ; expected code r·H(p,q) = r·H(p) + r·D(p‖q); a zero-probability observed event costs infinitely or returns a missing code; a missing counter is unknown, not zero	a measurement is an exterior face of a receipt that no law or HNN operation consumes	exterior measurements	D:docs/ELEMENTARY_OBJECTS.md#10-receipt; L:Foundation/SituatedInformationRate:throughput_serial	definition	uses:receipt.bits-per-second
receipt.moving-receiver-chain-rule	receipt, receiver	y = ρ(z, τ), z = (x_S, x_R): ẏ = D_Sρ·F_S + D_Rρ·F_R + ∂_τρ;  linear chart: ẏ = q̇x + qẋ	replacing the receiving Holon by a fixed row suppresses a term whenever the row actually changes	differentiable trajectories	D:docs/RECEIVER_HOLARCHY.md#the-object-the-receiving-operation-and-the-displayed-face; L:Transport/ChangingReceiver:moving_receiver_rate	proved-derived	uses:receipt.reception
receipt.response-family	receipt, receiver, landmark	A(X) = {y_(u,R)(t) : u admitted source, R admitted receiver, t ≥ 0}	identity is carried by the organized family of responses under admitted probes, not by one global spectrum; active local probing separates what one passive reading cannot	declared admitted probes	D:docs/RECEIVER_HOLARCHY.md#no-object-has-one-intrinsic-face-the-receiver-atlas; L:Foundation/ReceiverAtlas:fullProbeAtlas_separates	definition	uses:receipt.spectrum-not-response
receipt.causal-chord	receipt, receiver, navigator	H_x(s) = C_x(sI − A_x)⁻¹B_x;  C_R(x) = {(ω_j, σ_j, support_j, residue_(R,j))}, λ_j = σ_j + iω_j	the causal chord carries poles, excitability, observability and residues per source–mode–receiver path; for non-normal A read the resolvent or its singular modes, not eigenvalues	local linearization	D:docs/RECEIVER_HOLARCHY.md#no-object-has-one-intrinsic-face-the-receiver-atlas; R:holonics::receiver::causal_chord::transfer_function	definition	uses:receipt.causal-chord-transfer
receipt.rate-reading	receipt, constitution, holon	ẋ = A(t)x + s(t), E_G = x*Gx/2: Ė_G = Re(x*Gs) + x*Σ_G x/2, Σ_G = A*G + GA + Ġ; discrete: T*G_next T − G	the rate of a receiver's energy reading is supplied port work plus a source-free form whose signature is the invariant content; a coarse entropy rise is not heat	differentiable Hermitian positive metric	D:docs/RECEIVER_HOLARCHY.md#no-object-has-one-intrinsic-face-the-receiver-atlas; L:Foundation/CausalChord:rateForm_congruence	proved-derived	generalizes:receipt.rate-form-congruence
receipt.rest-space-foliation	receipt, receiver, complex	a rest-space foliation U♭ = a dt requires U♭ ∧ dU♭ = 0	one globally perpendicular I/O direction is an additional geometric condition, not a property of every observer	Lorentzian receiver	D:docs/RECEIVER_HOLARCHY.md#perspective-is-a-physical-relation-before-it-becomes-screen-coordinates	proved-derived	
receipt.observer-current	receipt, receiver, holon	E_R = −g(k, U_R);  j_R^μ = −T^(μν)U_(R,ν), F_R = j_R^μ n_(R,μ);  ∇_μ j_R^μ = −(∇_μT^(μν))U_(R,ν) − T^(μν)∇_μU_(R,ν)	a relativistic receiver participates through its trajectory, orientation and constitutive boundary	symmetric stress, future-directed unit U_R	D:docs/RECEIVER_HOLARCHY.md#perspective-is-a-physical-relation-before-it-becomes-screen-coordinates; L:Physics/ObserverBoundaryCurrent:observerCurrentDivergence	proved-derived	uses:receipt.moving-receiver-chain-rule
receipt.moving-surface-emf	receipt, coholon, complex	d/dt ∫_(S_t) β = ∮_(∂S_t)(−e + ι_vβ);  EMF = ∮(e − ι_vβ) = −d/dt ∫_(S_t) β, e − ι_vβ = (E + v × B)♭	induction includes the moving receiving surface: the motional EMF survives without explicit field change	dβ = 0, ∂_tβ = −de, stated contraction convention	D:docs/RECEIVER_HOLARCHY.md#induction-includes-the-moving-receiving-surface	proved-derived	uses:holon.stokes
receipt.finite-mixed-difference	receipt, receiver	r₁(B₁) − r₀(B₀) = r₀(ΔB) + Δr(B₀) + Δr(ΔB)	the finite reading change of a changing field on a changing face keeps the genuine mixed difference	bilinear reading	D:docs/RECEIVER_HOLARCHY.md#induction-includes-the-moving-receiving-surface	proved-derived	uses:receipt.moving-receiver-chain-rule
receipt.history-partition	receipt, receiver, compression	observed history partition = ⋁_(k<n) Φ_(k,0)⁻¹ P_(R,k); probabilities need a declared measure μ	Shannon entropy, refinement rate, basin dimension and heat production are distinct receivers of one construction	declared measure	D:docs/RECEIVER_HOLARCHY.md#fractal-dynamics-are-received-through-a-changing-family-of-cuts	definition	uses:navigator.first-arrival
receipt.reynolds-moving-cell	receipt, receiver, tube	∂_tρ + div J = s, cell A_i(t) with boundary velocity v_i: ṁ_i = −∫_(∂A_i)(J − ρv_i)·n + ∫_(A_i) s	a moving receiving cell reads the flux relative to its own boundary	smooth flat chart	D:docs/RECEIVER_HOLARCHY.md#the-calculus-of-entropy-also-contains-receiver-motion	proved-derived	uses:receipt.moving-receiver-chain-rule
receipt.aperture-normalization	receipt, receiver, ratio	Z = Σ m_i > 0, p_i = m_i/Z: ṗ_i = (ṁ_i − p_i Ż)/Z	a partial aperture's moving normalization cannot be omitted when the admitted current changes	positive total	D:docs/RECEIVER_HOLARCHY.md#the-calculus-of-entropy-also-contains-receiver-motion	proved-derived	uses:receipt.reynolds-moving-cell
receipt.entropy-rates	receipt, ratio, aeon	H_R = −Σ p log p, Ḣ_R = −Σ ṗ log p;  C(p,q) = −Σ p log q, Ċ = −Σ ṗ log q − Σ p q̇/q	both the measured distribution and its reference move; entropy changed by a moving aperture is not physical entropy production	fixed positive-support stratum	D:docs/RECEIVER_HOLARCHY.md#the-calculus-of-entropy-also-contains-receiver-motion	proved-derived	uses:receipt.aperture-normalization
receipt.tensor-lens	receipt, receiver, holon	TensorFace = dependent tensor product over a finite axis family; TensorLens = receiver map into faces; a coherent permutation of equal slots that lifts to occurrences and preserves both ports transports the complete preimage fibre	a tensor face is a receiver reading, not a Holon; slot relabelling transports fibres only under naturality	homogeneous Fin-order tensor power	L:Foundation/HolonTensorLens:TensorLens; L:Foundation/HolonTensorLens:receiver_after_remount; L:Foundation/HolonTensorLens:HomogeneousSlotNaturality.preimageFibreEquiv	formal-checked	uses:receipt.quotient-preimage-fibre
receipt.lineage-split	receipt, receiver, holarchy	splits built on lineage classes never straddle a class; a raw design split can leak a pair; a receiver fitted on development material is refused at evaluation; calibration does not cross assays without a bridge; the external return is a new occurrence and does not relabel the prediction	an evaluation's conclusions stand at its own split and receiver and do not travel	declared edit radius and splits	L:Foundation/EvaluationDiscipline:ofClassPredicate_does_not_straddle; L:Foundation/EvaluationDiscipline:rawSplit_straddles; L:Foundation/EvaluationDiscipline:evaluateAt_refuses_a_fitted_occurrence; L:Foundation/EvaluationDiscipline:across_assays_without_a_bridge_is_refused; L:Foundation/EvaluationDiscipline:a_conclusion_does_not_travel_to_another_split	formal-checked	uses:holon.bridge-statuses
receipt.exterior-intake	receipt, ratio	a finite IEEE-754 word decodes exactly to its dyadic rational value (nonfinite refused); a wider format carries every narrower value (binary32 strictly refines binary16); outward projection floors/ceils and contains the source, never flipping inside ↔ outside; no occurrence without its environment index; pair readings are directional	intake of an exterior float is an exact dyadic decoding at the boundary, never a rounding inside the machinery	exterior codewords	L:Foundation/ExteriorIntake:decode_exact_on_finite; L:Foundation/ExteriorIntake:binary32_strictly_refines_binary16; L:Foundation/ExteriorIntake:widening_never_flips_a_decision; L:Foundation/ExteriorIntake:no_occurrence_without_environment; L:Foundation/ExteriorIntake:reading_is_directional	formal-checked	uses:complex.aperture-trichotomy
holarchy.interconnect	holarchy, holon	interconnect(A, B) at shared ports τ: composite Dirac structure (f_τ opposite, e_τ equal), storage and resistance block-diagonal, E = E_A + E_B, shared power cancels; or a typed gluing defect	a Holarchy is what interconnect returns: the joined whole with its retained constituents, incidence and typed gluing	typed port gluing; unit checks at the join	L:Holon/Law:PortHolon.interconnect; L:Holon/Dirac:interconnect_isDirac; L:Holon/Dirac:interconnect_power; L:Holon/Law:storageEnergy_blocks; D:docs/ELEMENTARY_OBJECTS.md#11-holarchy; R:holonics::holon::Holon	formal-checked	uses:holon.interconnect
holarchy.view-count	holarchy, receiver, compression	view(receiver, grain, clock) = constituent faces, interface flux, unresolved classes; count only under a finite, exhaustive, disjoint, distinguishing partition certified by that receiver; refine returns a commuting scale square or its defect	a Holarchy's quantities belong to the receiver: one continuing whole, many receiver-relative counts	guide definition; no single Lean owner yet	D:docs/ELEMENTARY_OBJECTS.md#11-holarchy; L:Holon/Restriction:squareDefect_mulVec_eq_zero_iff; L:Foundation/HodgeReceiver:finrank_harmonic_metric_free	definition	uses:tower.scale-square
